id,x,y,z,vx,vy,vz
10827,-1.983201,3.796793,-0.926987,-0.338769,0.648565,-0.158347
10828,-16.653784,15.331738,37.392069,-3.598872,3.313179,8.080402
10829,-37.129129,38.072890,25.963913,-10.366483,10.629982,7.249146
10830,86.873036,-46.091628,12.575033,18.902606,-10.029025,2.736187
10831,-39.948311,-43.067742,-15.684871,-9.369183,-10.100791,-3.678614
10832,-2.403105,3.557974,-4.023465,-0.454743,0.673281,-0.761366
10833,-14.003468,-11.276017,1.302081,-3.237113,-2.606621,0.300996
10834,-28.321270,34.157552,-27.324311,-5.312858,6.407700,-5.125836
10835,119.158724,-636.650538,-1411.694856,25.279368,-135.064582,-299.489223
10836,-12.745680,24.359971,16.271224,-2.422325,4.629629,3.092357
10837,-2108.201345,-1537.453724,-1431.094053,-602.238071,-439.195794,-408.812623
10838,-458.877430,-416.946204,213.331900,-128.598800,-116.847720,59.785521
10839,-2.986137,-11.543695,4.733284,-0.645770,-2.496395,1.023602
10840,-31.346771,8.228195,39.626402,-6.527345,1.713359,8.251414
10841,5.245031,6.612788,19.672762,1.015849,1.280754,3.810187
10842,-59.077422,-259.516281,-168.954914,-11.789737,-51.790152,-33.717348
10843,22.302815,8.749154,21.420118,5.296338,2.077696,5.086720
10844,135.361103,600.715220,1128.792933,25.766945,114.350396,214.873729
10845,111.657729,174.762470,-101.037503,23.109368,36.169912,-20.911341
10846,55.110236,-3.078839,8.839334,10.965034,-0.612583,1.758722
10847,4675.301545,-8361.386670,6272.070080,919.184998,-1643.885666,1233.116767
10848,-295.044044,100.824190,-7.642598,-56.658325,19.361617,-1.467634
10849,-47.541295,58.218745,-52.754544,-13.635141,16.697500,-15.130333
10850,1216.209552,-951.088720,-1262.645653,250.165077,-195.631733,-259.716630
10851,-105.595615,229.981817,192.425972,-21.136365,46.033916,38.516615
10852,-193.255057,505.680772,-607.292782,-39.751316,104.015266,-124.916199
10853,-24.136691,-112.693790,-136.072506,-5.567092,-25.992654,-31.384920
10854,41.215306,-21.606596,10.938257,8.248470,-4.324155,2.189087
10855,19.162135,95.334158,-72.171043,3.824349,19.026641,-14.403783
10856,37.017188,-34.246410,22.598385,10.826212,-10.015858,6.609225
10857,1151.552209,-649.330086,-615.538768,232.584897,-131.148523,-124.323517
10858,-10.529639,9.557654,0.197546,-2.627943,2.385359,0.049303
10859,787.007165,-1567.393101,-1345.215408,197.654028,-393.645159,-337.846028
10860,40.053973,12.849568,-62.854895,9.239126,2.963970,-14.498544
10861,1799.678529,6963.803548,1583.100678,386.618531,1496.009124,340.091883
10862,-219.561752,-999.122047,721.135559,-38.187751,-173.774455,125.425056
10863,-26.404981,-100.582453,25.346680,-5.100825,-19.430177,4.896386
10864,-36.853333,-8.525178,-32.818361,-9.096065,-2.104167,-8.100161
10865,27.329044,-20.564452,-53.535288,4.832651,-3.636454,-9.466754
10866,-1294.430464,1002.936837,-171.968773,-280.727287,217.510129,-37.295419
10867,-33.514404,-0.992725,18.522513,-7.575735,-0.224400,4.186906
10868,0.487189,-39.482350,17.974192,0.093248,-7.556884,3.440243
10869,-11.873176,22.406749,-23.460902,-2.324902,4.387495,-4.593910
